uniqueIdentifier,investorAlertCategoryMandatory,nameMandatory,addresses,websites,emails,phones,otherInformationGeneral,otherInformationAliases,otherInformationSocialAccount,dateAdded,dateUpdated,otherInformationAccounts,realCompany
1370,Unlicensed,https://www.jcfultonalliance.com,"['6F NK Building 2-7-2 Kanda Sudacho Chiyoda-ku Tokyo 101-0041 Japan', '22/F Port 33 33 Tseuk Luk Street San Po Kong Hong Kong']",['https://www.jcfultonalliance.com'],['info@jcfultonalliance.com'],['8134500924'],,['JC Fulton Alliance'],,2023-11-15,2023-11-15,[],[]
1371,Unlicensed,https://www.mexc-mybit.com,,['https://www.mexc-mybit.com'],['support@mexc-btc.vip'],['61411816117'],,['Mexc Global'],,2023-11-15,2023-11-15,[],[]
1372,Unlicensed,https://quantumtradewave.org,,['https://quantumtradewave.org'],['info@quantumtradewave.org'],,,['Quantum Trade Wave'],,2023-11-15,2023-11-15,[],[]
1373,Unlicensed,https://benchmark.co.com,,['https://benchmark.co.com'],['support@benchmark.co.com'],,,['Benchmark'],,2023-11-15,2023-11-15,[],[]
1374,Unlicensed,https://cryptodezire.io,,['https://cryptodezire.io'],,,,['Cryptodezire'],,2023-11-15,2023-11-15,[],[]
1375,Unlicensed,https://gspartners.global,,['https://gspartners.global'],"['support@swissvalorembank.com', 'legal@swissvalorembank.com']",,,['Swiss Valorem Bank'],,2023-11-15,2023-11-15,[],[]
1376,Unlicensed,https://inetmarkets.com,,['https://inetmarkets.com'],,,,['InetMarkets'],,2023-11-15,2023-11-15,[],[]
1377,Imposter,Impersonation of Questus Capital Solutions Limited (qcqc.net),['38/F One New York Plaza 1 Whitehall St New York NY 10004 United States'],['https://qcqc.net'],['CS@QCQC.NET'],['+1(716)9655660'],,,,2023-11-15,2025-02-07,[],"[{'realCompanyName': 'Questus Capital Solutions Limited', 'realCompanyACN': '090768719', 'realCompanyAFSL': '227201', 'realCompanyACL': '', 'realCompanyARorCR': '', 'realCompanyWebsite': ''}]"
1378,Unlicensed,https://www.gcckcfxs.com,['300 George Street Brisbane City QLD 4000 Australia'],['https://www.gcckcfxs.com'],['gcckcltd01@gcckcfxs.com'],,,"['GCCKC FXS', 'GCCKC Ltd']",,2023-11-15,2023-11-15,[],[]
1379,Unlicensed,https://www.elitesbooster.com,['10 Barclay St New York'],['https://www.elitesbooster.com'],"['support@elitesbooster.com', 'info@elitesbooster.com']",,,,,2023-11-15,2023-11-15,[],[]
1380,Unlicensed,https://juicytrade-crypto.net,['124 Wigmore Street London United Kingdom W1U 3RX'],['https://juicytrade-crypto.net'],['support@juicytrade-crypto.net'],,,['Juicyfield Crypto'],,2023-11-15,2023-11-15,[],[]
1381,Unlicensed,https://www.williamyoungs.net,,['https://www.williamyoungs.net'],['support@williamyoungs.com'],"['442070977307', '08000608744']",,['William Youngs'],,2023-11-15,2023-11-15,[],[]
1382,Unlicensed,https://www.kudefir.com,,['https://www.kudefir.com'],,,,"['Kudefir', 'ETH Mining']",,2023-11-21,2023-11-21,[],[]
1383,Unlicensed,https://katranex.com,,['https://katranex.com'],['support@katranex.com'],,,['Katranex'],,2023-11-21,2023-11-21,[],[]
1384,Unlicensed,https://imtokenyy.com,,['https://imtokenyy.com'],,,,['Nexus Mutual'],,2023-11-21,2023-11-21,[],[]
1385,Unlicensed,https://conostock.com,,['https://conostock.com'],,,,['Conostock'],,2023-11-21,2023-11-21,[],[]
1386,Unlicensed,https://www.finflow-x.io,,['https://www.finflow-x.io'],['support@finflow-x.io'],"['441903497009', '14372661221', '61370436079', '32460242019', '34960408985']",,['Finflow-x'],,2023-11-21,2023-11-21,[],[]
1387,Imposter,https://voltcorplimited.com,,['https://voltcorplimited.com'],['support@voltcorplimited.com'],,,['Volt Corporation Limited'],,2023-11-21,2023-11-21,[],"[{'realCompanyName': 'Baas Technology Limited', 'realCompanyACN': '622084959', 'realCompanyAFSL': '', 'realCompanyACL': '', 'realCompanyARorCR': '', 'realCompanyWebsite': 'https://voltcorp.com.au'}]"
1388,Imposter,https://www.sovereignfinance.com.au,['20 William St Perth WA 6000 Australia'],['https://www.sovereignfinance.com.au'],['inquiry@sovereignfinance.com.au'],['+61861462950'],,['Sovereign Finance'],,2023-11-21,2023-11-21,[],"[{'realCompanyName': 'Sovereign Finance Pty Ltd', 'realCompanyACN': '090595378', 'realCompanyAFSL': '', 'realCompanyACL': '', 'realCompanyARorCR': '', 'realCompanyWebsite': ''}, {'realCompanyName': 'Sovereign Financial Group Pty Ltd', 'realCompanyACN': '125328289', 'realCompanyAFSL': '000383416', 'realCompanyACL': '', 'realCompanyARorCR': '', 'realCompanyWebsite': ''}]"
1389,Unlicensed,https://currencyarenafx.com,,['https://currencyarenafx.com'],"['support@currencyarenafx.com', 'info@currencyarenafx.com']",,,"['Currency Arena FX', ' QuantumAI', ' Quantum AI']",,2023-11-21,2024-01-18,[],[]
1390,Unlicensed,https://www.capitalgainassets.com,,['https://www.capitalgainassets.com'],['support@capitalgainassets.com'],"['447893928699', '61735207644', '31203698288']",,['Capital Gain Assets'],,2023-11-21,2023-11-21,[],[]
1391,Unlicensed,https://www.tradecryptomasters.com,['30 St Mary Axe London EC3A 8BF UK'],['https://www.tradecryptomasters.com'],['support@tradecryptomasters.com'],"['61340516522', '441135182650']",,['TradeCryptoMasters'],,2023-11-21,2023-11-21,[],[]
1392,Unlicensed,https://traderai.ai,,['https://traderai.ai'],['info@traderai.ai'],"['61284889800', '6498875786', '442038379676']",,['Trader AI'],,2023-11-21,2023-11-21,[],[]
1393,Unlicensed,https://www.aegloballink.com,,['https://www.aegloballink.com'],['enquiry@aegloballink.com'],,,['AE Global Link'],,2023-11-21,2023-11-21,[],[]
1394,Unlicensed,https://greatsecretdeal.com/bitcoin-bank-breaker/?oid=803&qze=176&hitid=9a02a75a-62dc-4315-8b83-b9572abab6f6&aff_sub=&saf=&cvu=&action=&aff_sub5=&url_id=803&aff_sub2=&aff_sub3=&aff_sub4=&track,,['https://greatsecretdeal.com/bitcoin-bank-breaker/?oid=803&qze=176&hitid=9a02a75a-62dc-4315-8b83-b9572abab6f6&aff_sub=&saf=&cvu=&action=&aff_sub5=&url_id=803&aff_sub2=&aff_sub3=&aff_sub4=&track'],,,,['Bitcoin Bank Breaker'],,2023-11-21,2023-11-21,[],[]
1395,Unlicensed,https://essay-offers.com/immediate-edge,,['https://essay-offers.com/immediate-edge'],,,,['Immediate Edge'],,2023-11-21,2023-11-21,[],[]
1397,Unlicensed,https://quantumai-uk-new2.investing-shoping.com/?aff_sub=b09da7vktd5bz677,,['https://quantumai-uk-new2.investing-shoping.com/?aff_sub=b09da7vktd5bz677'],,,,"['QuantumAI', ' Quantum AI']",,2023-11-21,2024-01-18,[],[]
1398,Unlicensed,https://infixassetsinvestment.com,,['https://infixassetsinvestment.com'],"['info@primexbt.com', 'support@help.primexbt.com', 'support@Infixassetsinvestment.com']",,,['InfixAssetsInvestment'],,2023-11-21,2023-11-21,[],[]
1399,Imposter,http://www.lionheartcapital-au.com,['12 Milling Street Hunters Hill NSW 2110 Australia'],['http://www.lionheartcapital-au.com'],['info@lionheartcapital-au.com'],['61290727761'],,['Lionheart Capital'],,2023-11-22,2023-11-22,[],"[{'realCompanyName': 'NGC Capital Management Pty Ltd (previously known as Lion Heart Capital Pty. Ltd)', 'realCompanyACN': '135755010', 'realCompanyAFSL': '404967', 'realCompanyACL': '', 'realCompanyARorCR': '', 'realCompanyWebsite': ''}]"
1400,Unlicensed,https://www.capital-aif.com,,['https://www.capital-aif.com'],,,,['Capital AIT'],,2023-11-22,2023-11-22,[],[]
1401,Unlicensed,https://www.scorplimited.com,['3 Sunnyside Road Taylorville SA 5330 Australia'],['https://www.scorplimited.com'],"['support@scorplimited.com', 'info@scorplimited.com']",,,['Scorp Limited'],,2023-11-22,2023-11-22,[],[]
1402,Unlicensed,https://client.mgsfinanc.com,,['https://client.mgsfinanc.com'],,,,,,2023-11-22,2023-11-22,[],[]
1403,Imposter,https://mgs-finc.com,['Suite 701 Level 7 77 Castlereagh Street Sydney NSW 2000 Australia'],['https://mgs-finc.com'],['cs@mgs-finc.com'],,,"['MGS', 'MGS Finance']",,2023-11-22,2023-11-22,[],"[{'realCompanyName': 'MGS Financial Pty Limited', 'realCompanyACN': '134712039', 'realCompanyAFSL': '337568', 'realCompanyACL': '337568', 'realCompanyARorCR': '', 'realCompanyWebsite': ''}]"
1404,Imposter,https://uiitn.com,"['2 Bligh St Sydney NSW 2000', ' 205 Grattan Street Carlton VIC 3053']",['https://uiitn.com'],['contract@iitn.com'],['61730409134'],,"['Uiit+N', 'UIIT']",,2023-11-22,2023-11-22,[],"[{'realCompanyName': 'UIIT Pty Ltd', 'realCompanyACN': '103554801', 'realCompanyAFSL': '299900', 'realCompanyACL': '', 'realCompanyARorCR': '', 'realCompanyWebsite': ''}]"
1405,Unlicensed,https://tonpex.org,['72 Wiltshire Drive Kew Australia TW15 2TW'],['https://tonpex.org'],['support@tonpex.org'],,,['Tonpex'],,2023-11-22,2023-11-22,[],[]
1406,Unlicensed,https://travaxbt.com,['6595 Boles Road Johns Creek GA 3009'],['https://travaxbt.com'],"['support@fxcryptoblocktrade.com', 'customer@travaxbt.com']",,,['TravaXBT'],,2023-11-22,2023-11-22,[],[]
1407,Unlicensed,https://www.spreadexs.com,,['https://www.spreadexs.com'],['info@spreades.com'],,,['SpreadEx'],,2023-11-22,2023-11-22,[],[]
1408,Unlicensed,https://hdglobalforexlimited.com,,['https://hdglobalforexlimited.com'],['support@hdglobalforexlimited.com'],,,['HD Global Forex Limited'],,2023-11-22,2023-11-22,[],[]
1409,Unlicensed,https://admiraltrades.com,['52 Berkeley St London United Kingdom'],['https://admiraltrades.com'],['support@admiraltrades.com'],"['442392007118', '61370196932', '61370196944', '61370196942']",,['Admiral Trades'],,2023-11-22,2023-11-22,[],[]
1410,Imposter,https://coinofwork.com,,['https://coinofwork.com'],,['5557281900'],,['Coinofwork'],,2023-11-22,2023-11-22,[],"[{'realCompanyName': 'The Bank of Nova Scotia', 'realCompanyACN': '133513827', 'realCompanyAFSL': '483575', 'realCompanyACL': '', 'realCompanyARorCR': '', 'realCompanyWebsite': ''}]"
1411,Unlicensed,https://www.shibamarkets.com,"['100 McLachlan St Fortitude Valley QLD 4006', ' Glärnischstrasse 36 8027 Zürich Switzerland']",['https://www.shibamarkets.com'],['support@shibamarkets.com'],"['61272577559,41449746120']",,['Shiba Markets'],,2023-11-22,2023-11-22,[],[]
1412,Unlicensed,https://www.texc.com,,['https://www.texc.com'],,,,['TriumphFX'],,2023-11-22,2023-11-22,[],[]
1413,Unlicensed,https://www.tfxi.com,,['https://www.tfxi.com'],,,,['TriumphFX'],,2023-11-22,2023-11-22,[],[]
1414,Unlicensed,https://solana-markets.com,"['109 Pitt St Sydney NSW 2000 Australia', ' 25 Copthall Ave London EC2R 7BP United Kingdom']",['https://solana-markets.com'],['support@solana-markts.com'],['61285260965'],,['Solana Markets'],,2023-11-22,2023-11-22,[],[]
1415,Unlicensed,https://wallstreetfx.io,['121 Prodromou Hadjikyriakion Building 1 st floor 2064 Nicosia Cyprus'],['https://wallstreetfx.io'],"['support@wallstreetfx.io', 'compliance@wallstreetfx.io']","['61485853592', '441304793886']",,['Wall Street Exchange'],,2023-11-22,2023-11-22,[],[]
1416,Unlicensed,https://www.allcapitaltrade.com,['HX1&2 Harbour Exchange Sq London'],['https://www.allcapitaltrade.com'],['support@allcapitaltrade.com'],"['442045930507', '61238147541']",,['All Capital Trade'],,2023-11-22,2023-11-22,[],[]
1417,Unlicensed,https://brilexoptions.com,['245 Grand Street 2nd Floor New York 10002 United States'],['https://brilexoptions.com'],['support@brilexoptions.com'],,,['Brilex Options'],,2023-11-22,2023-11-22,[],[]
1418,Unlicensed,https://polariseptyltd.com,['Wallstraße 76-79 10179 Berlin'],['https://polariseptyltd.com'],['contact@polarisptyltd.com'],['447826864568'],,['Polarise'],,2023-11-22,2023-11-22,[],"[{'realCompanyName': 'Polarise Pty Ltd', 'realCompanyACN': '082825750', 'realCompanyAFSL': '', 'realCompanyACL': '', 'realCompanyARorCR': '', 'realCompanyWebsite': ''}]"
1419,Imposter,betterloanrates@gmail.com,,,['betterloanrates@gmail.com'],,,['Better Loan Rates'],,2023-11-22,2023-11-22,[],"[{'realCompanyName': 'Better Loan Rates Pty Ltd', 'realCompanyACN': '158083142', 'realCompanyAFSL': '', 'realCompanyACL': '422657', 'realCompanyARorCR': '', 'realCompanyWebsite': ''}]"
1420,Imposter,Impersonation of Estephan Enterprises Pty Ltd (wealthyfrontinvesting.com),,['https://wealthyfrontinvesting.com'],['info@wealthyfrontinvesting.com'],['6237779379'],,['Wealthy Front Investing'],,2023-11-22,2025-02-07,[],"[{'realCompanyName': 'Estephan Enterprises Pty Ltd', 'realCompanyACN': '099091255', 'realCompanyAFSL': '', 'realCompanyACL': '', 'realCompanyARorCR': '', 'realCompanyWebsite': ''}]"
1421,Imposter,https://tronelix.com/?utm_source=651590690349017&utm_medium=an&sub_id_3=6342512244567&utm_campaign=Bg1909_463678993744144&utm_content=babushka_new&fbclid=IwAR0E15E-NcjaPVXAxoCQJqzKfnfyYK598Q0-miNwsTu,,['https://tronelix.com/?utm_source=651590690349017&utm_medium=an&sub_id_3=6342512244567&utm_campaign=Bg1909_463678993744144&utm_content=babushka_new&fbclid=IwAR0E15E-NcjaPVXAxoCQJqzKfnfyYK598Q0-miNwsTu'],,,,['Tronelix'],,2023-11-22,2023-11-22,[],"[{'realCompanyName': 'Nine Entertainment Co. Holdings Limited', 'realCompanyACN': '122203892', 'realCompanyAFSL': '', 'realCompanyACL': '', 'realCompanyARorCR': '', 'realCompanyWebsite': ''}]"
1422,Unlicensed,https://rove-wealth.net,,['https://rove-wealth.net'],['support@rove-wealth.net'],,,['Rove-Wealth'],,2023-12-12,2023-12-12,[],[]
1423,Unlicensed,https://dexpoolfinance.net,['43 Roker Terrace Lathallan Mill KY9 4NY United Kingdom'],['https://dexpoolfinance.net'],,,,['Dexpool Finance Inc'],,2023-12-12,2023-12-12,[],[]
1424,Unlicensed,https://astroxcoin.com,,['https://astroxcoin.com'],,,,['Astroxcoin Financial Company'],,2023-12-12,2023-12-12,[],[]
1425,Unlicensed,https://www.texcomanagement.com,['45 Welland Close Slough England SL3 8UP'],['https://www.texcomanagement.com'],['support@hybridtrade.io'],,,['Texco Management'],,2023-12-12,2023-12-12,[],[]
1426,Unlicensed,http://venax.org,['105 Barangaroo Ave Sydney New South Wales 2100'],['http://venax.org'],['admin@venax.org'],,,['Venax'],,2023-12-12,2023-12-12,[],[]
1427,Unlicensed,https://stonebridgeventures.com,,['https://stonebridgeventures.com'],"['legal@stonebridgeventures.email', 'support@stonebridgeventures.email']",['448081753962'],,['Stonebridge Ventures'],,2023-12-12,2023-12-12,[],[]
1428,Unlicensed,https://cryptosmartinvestment.com,,['https://cryptosmartinvestment.com'],['admin@cryptosmartinvestment.com'],,,['Cryptosmartinvestment'],,2023-12-12,2023-12-12,[],[]
1429,Unlicensed,https://elitefxtraders.net,['213 Derrick Street Boston MA 02130 USA'],['https://elitefxtraders.net'],['support@eliterfxtrader.net'],,,['Elite Trader FX'],,2023-12-12,2023-12-12,[],[]
1430,Unlicensed,https://daytradingspots.com,['716 Witney Way Boldon Business Park Boldon Colliery United Kingdom NE35 9PE'],['https://daytradingspots.com'],['support@Daytradingspots.com'],,,['Daytradingspots'],,2023-12-12,2023-12-12,[],[]
1431,Imposter,https://etherealfxpro.com,['36 - 38 Leadenhall Street London EC3A 1AT United Kingdom'],['https://etherealfxpro.com'],['info@etherealfxpro.com'],,,"['Ethereal Fx Pro Financial Services Pty Ltd', ' Ethereal Fx Pro']",,2023-12-12,2023-12-12,[],"[{'realCompanyName': 'Axicorp Financial Services Pty Ltd', 'realCompanyACN': '127606348', 'realCompanyAFSL': '318232', 'realCompanyACL': '', 'realCompanyARorCR': '', 'realCompanyWebsite': 'www.axi.com/au'}]"
1432,Unlicensed,https://erissonglobe.com,['The Old Hall Bartlow Cambridge England CB21 4PW'],['https://erissonglobe.com'],,,,"['Erisson Globe', ' Erisson Globe Limited']",,2023-12-12,2023-12-12,[],[]
1433,Imposter,https://mensafinance.com,['Bulevar Mese Selimovica 16 Sarajevo Bosnia and Herzegovina'],['https://mensafinance.com'],['info@mensafinance.com'],['38762182291'],,['Mensa Finance Ltd'],,2023-12-12,2023-12-12,[],"[{'realCompanyName': 'F. Mensa Pty. Ltd.', 'realCompanyACN': '092197487', 'realCompanyAFSL': '', 'realCompanyACL': '', 'realCompanyARorCR': '', 'realCompanyWebsite': ''}]"
1434,Unlicensed,https://www.fastest-mining.ltd,,['https://www.fastest-mining.ltd'],['admin@fastest-mining.ltd'],['61488875027'],,['Fastest Mining Limited'],,2023-12-12,2023-12-12,[],[]
1435,Unlicensed,https://hotcapitalstox.com,['125 Old Broad St London EC2N 1AR United Kingdom'],['https://hotcapitalstox.com'],['support@hotcapitalstox.com'],,,['Hotcapital Stox'],,2023-12-12,2023-12-12,[],[]
1436,Unlicensed,https://web.globalc.cc/h5,,['https://web.globalc.cc/h5'],,,,['Global'],,2023-12-12,2023-12-12,[],[]
1437,Unlicensed,https://www.gbicapitalgroup.com,['16 New Industrial Road 04-02 Hudson Technocentre Singapore 536204'],['https://www.gbicapitalgroup.com'],"['investors@gbicapitalgroup.com', 'registrations@gbicapitalgroup.com', 'info@gbicapitalgroup.com']","['6566535673', '684607192']",,['GBI Capital Group'],,2023-12-12,2023-12-12,[],[]
1438,Unlicensed,https://automatedlivetradeview.com,"['78 Albert Street Veresdale Queensland Australia', ' 93 Henley Road Brabourne United Kingdom']",['https://automatedlivetradeview.com'],"['support@automatedlivetradeview.com', 'noreply@automatedlivetradeview.com']",,,['Automated Live Trade Views'],,2023-12-12,2023-12-12,[],[]
1439,Unlicensed,https://legacypremiumfinance.online,['United States of America'],['https://legacypremiumfinance.online'],['customercare@legacypremiumfinance.online'],,,['WinkCapitals'],,2023-12-12,2023-12-12,[],[]
1440,Unlicensed,https://winkcapitals.com,['45836 N Springsteen Ct California MD 20619 USA'],['https://winkcapitals.com'],['support@winkcapitals.com'],,,['WinkCapitals'],,2023-12-12,2023-12-12,[],[]
1441,Unlicensed,https://phoenixcpartners.com,['1103 Stewart Avenue Suite 120 Garden City NY 11530'],['https://phoenixcpartners.com'],['info@phoenixcpartners.com'],['5164023030'],,['Phoenix Capital Partners'],,2023-12-12,2023-12-12,[],[]
1442,Unlicensed,https://onefxgroup.com,['50 N Wall Quay Dublin 1 Ireland'],['https://onefxgroup.com'],['support@onefxgroup.com'],['442030971312'],,['OneFXGroup'],,2023-12-12,2023-12-12,[],[]
1443,Imposter,Impersonation of Futu Securities (Australia) Ltd (futu-pro.org),,['https://futu-pro.org'],,,,['Futu'],,2023-12-12,2024-05-21,[],"[{'realCompanyName': 'Futu Securities (Australia) Ltd', 'realCompanyACN': '095920648', 'realCompanyAFSL': '224663', 'realCompanyACL': '', 'realCompanyARorCR': '', 'realCompanyWebsite': 'https://www.moomoo.com/au'}]"
1444,Imposter,Impersonation of Futu Securities (Australia) Ltd (fu-tuweb.com),,['https://fu-tuweb.com'],,,,['Futu'],,2023-12-12,2024-05-21,[],"[{'realCompanyName': 'Futu Securities (Australia) Ltd', 'realCompanyACN': '095920648', 'realCompanyAFSL': '224663', 'realCompanyACL': '', 'realCompanyARorCR': '', 'realCompanyWebsite': 'https://www.moomoo.com/au'}]"
1445,Imposter,Impersonation of Futu Securities (Australia) Ltd (m.fu-tuweb.com),,['https://m.fu-tuweb.com'],,,,['Futu'],,2023-12-12,2024-05-21,[],"[{'realCompanyName': 'Futu Securities (Australia) Ltd', 'realCompanyACN': '095920648', 'realCompanyAFSL': '224663', 'realCompanyACL': '', 'realCompanyARorCR': '', 'realCompanyWebsite': 'https://www.moomoo.com/au'}]"
1446,Imposter,Impersonation of Futu Securities (Australia) Ltd (pc.fu-tuweb.com),,['https://pc.fu-tuweb.com'],,,,['Futu'],,2023-12-12,2024-05-21,[],"[{'realCompanyName': 'Futu Securities (Australia) Ltd', 'realCompanyACN': '095920648', 'realCompanyAFSL': '224663', 'realCompanyACL': '', 'realCompanyARorCR': '', 'realCompanyWebsite': 'https://www.moomoo.com/au'}]"
1447,Imposter,https://benefits4aussies.com,,['https://benefits4aussies.com'],,,,['Benefits 4 Aussies'],,2023-12-12,2023-12-12,[],"[{'realCompanyName': 'Compare the Market Pty Ltd', 'realCompanyACN': '117323378', 'realCompanyAFSL': '42226', 'realCompanyACL': '42226', 'realCompanyARorCR': '', 'realCompanyWebsite': 'www.comparethemarket.com.au'}, {'realCompanyName': 'Australian Financial Advisers Group Pty Ltd', 'realCompanyACN': '137368908', 'realCompanyAFSL': '', 'realCompanyACL': '', 'realCompanyARorCR': '339337', 'realCompanyWebsite': 'www.captaincompare.com.au'}]"
1448,Unlicensed,https://www.diamondtradesfx.com,['Zamzam Tower NYC New York'],['https://www.diamondtradesfx.com'],['Admin@diamondtradesfx.com'],,,,,2023-12-14,2023-12-14,[],[]
1449,Unlicensed,https://fmasters.io,,['https://fmasters.io'],['support@fmasters.io'],['442070431886'],,,,2023-12-14,2023-12-14,[],[]
1450,Unlicensed,https://msbtck.com,,['https://msbtck.com'],,,,,,2023-12-14,2023-12-14,[],[]
1451,Imposter,https://acma-au.org,,"['https://acma-au.org/ret/1', ' https://acma-au.org/suncorp/internetbanking/1', ' https://acma-au.org/beyond/internetbanking/1', ' https://acma-au.org/bendigo/internetbanking/1', ' https://acma-au.org/apo/internetbanking/1', ' https://acma-au.org/nab/internetbanking/1', ' https://acma-au.org/netbank/Logon/1', ' https://acma-au.org/asl/dest/1', ' https://acma-au.org/stgeorge/internetbanking/1']",,,,,,2023-12-14,2023-12-18,[],"[{'realCompanyName': 'Australian Communications and Media Authority', 'realCompanyACN': '', 'realCompanyAFSL': '', 'realCompanyACL': '', 'realCompanyARorCR': '', 'realCompanyWebsite': 'www.acma.gov.au'}, {'realCompanyName': 'Suncorp-Metway Ltd', 'realCompanyACN': '010831722', 'realCompanyAFSL': '229882', 'realCompanyACL': '229882', 'realCompanyARorCR': '', 'realCompanyWebsite': 'www.suncorp.com.au'}, {'realCompanyName': 'Beyond Bank Australia Limited', 'realCompanyACN': '087651143', 'realCompanyAFSL': '237856', 'realCompanyACL': '237856', 'realCompanyARorCR': '', 'realCompanyWebsite': 'www.beyonbank.com.au'}, {'realCompanyName': 'Bendigo and Adelaide Bank Limited', 'realCompanyACN': '068049178', 'realCompanyAFSL': '237879', 'realCompanyACL': '237879', 'realCompanyARorCR': '', 'realCompanyWebsite': 'www.bendigoadelaide.com.au'}, {'realCompanyName': 'Australia and New Zealand Banking Group Limited', 'realCompanyACN': '005357522', 'realCompanyAFSL': '234527', 'realCompanyACL': '234527', 'realCompanyARorCR': '', 'realCompanyWebsite': 'www.anz.com.au'}, {'realCompanyName': 'National Australia Bank Limited', 'realCompanyACN': '004044937', 'realCompanyAFSL': '230686', 'realCompanyACL': '230686', 'realCompanyARorCR': '', 'realCompanyWebsite': 'www.nab.com.au'}, {'realCompanyName': 'Commonwealth Bank of Australia', 'realCompanyACN': '123123124', 'realCompanyAFSL': '234945', 'realCompanyACL': '234945', 'realCompanyARorCR': '', 'realCompanyWebsite': 'www.commbank.com.au'}, {'realCompanyName': 'Westpac Banking Corporation', 'realCompanyACN': '007457141', 'realCompanyAFSL': '233714', 'realCompanyACL': '233714', 'realCompanyARorCR': '', 'realCompanyWebsite': 'www.westpac.com.au'}, {'realCompanyName': 'St George Bank a Division of Westpac Banking Corporation', 'realCompanyACN': '007457141', 'realCompanyAFSL': '233714', 'realCompanyACL': '233714', 'realCompanyARorCR': '', 'realCompanyWebsite': 'www.stgeorge.com.au'}]"
1452,Unlicensed,https://mexc-ccbit.com,,['https://mexc-ccbit.com'],['support@mexc-btc.vip'],,,,,2023-12-14,2023-12-14,[],[]
1453,Unlicensed,http://muskxbuy.com,,['http://muskxbuy.com'],['dpo@Muskxbuy.com'],,,,,2023-12-14,2023-12-14,[],[]
1454,Unlicensed,https://247farmcloudmining.com,,['https://247farmcloudmining.com'],['support@247farmcloudmining.com'],,,,,2023-12-14,2023-12-14,[],[]
1456,Imposter,https://linearfunds-management.com,['180 George Street Sydney NSW 2000'],['https://linearfunds-management.com'],['info@email-linearfundsmanagement.com'],['61251189332'],,,,2023-12-14,2023-12-14,[],"[{'realCompanyName': 'Linear Funds Management Pty Limited', 'realCompanyACN': '104956390', 'realCompanyAFSL': '243358', 'realCompanyACL': '', 'realCompanyARorCR': '', 'realCompanyWebsite': ''}]"
1457,Unlicensed,https://www.sashatrading.com,,['https://www.sashatrading.com'],['support@sashatrading.com'],,,,,2023-12-14,2023-12-14,[],[]
1458,Unlicensed,https://beastbex.com/en,,['https://beastbex.com/en'],['support@beastbex.com'],,,,,2023-12-14,2023-12-14,[],[]
1459,Unlicensed,https://chasebull.net,,['https://chasebull.net'],['info@chasebull.net'],,,,,2023-12-14,2023-12-14,[],[]
1460,Unlicensed,https://m-lith.com,['Gungevej 5 2650 Hvidovre Denmark'],['https://m-lith.com'],['support@m-lith.com'],,,,,2023-12-14,2023-12-14,[],[]
1461,Unlicensed,https://fiatvisions.com,['Bonovo Road Fomboni Island of Mohéli Comoros Union'],['https://fiatvisions.com'],['info@fiatvisions.com'],['18009721281'],,,,2023-12-14,2023-12-14,[],[]
1462,Unlicensed,https://omegagoldltd.com,['Level 1 6 Church Street Nelson New Zealand'],['https://omegagoldltd.com'],['support@titantrustees.com'],,,,,2023-12-14,2023-12-14,[],[]
1463,Imposter,https://client-secureaccess.com,,['https://client-secureaccess.com'],,,,,,2023-12-14,2023-12-14,[],"[{'realCompanyName': 'ING Bank (Australia) Limited', 'realCompanyACN': '000893292', 'realCompanyAFSL': '229823', 'realCompanyACL': '229823', 'realCompanyARorCR': '', 'realCompanyWebsite': ''}]"
1464,Unlicensed,https://quantum-ai-new2.digital-invest-club.com/?project=quantum-ai-new&click_id=2l0upuf413os&hit_id=2l0upuf413tr&country=AU&test-check=1,,['https://quantum-ai-new2.digital-invest-club.com/?project=quantum-ai-new&click_id=2l0upuf413os&hit_id=2l0upuf413tr&country=AU&test-check=1'],,,,"['QuantumAI', ' Quantum AI']",,2023-12-14,2024-01-18,[],[]
1465,Imposter,https://compare-investments.net,,['https://compare-investments.net'],,,,,,2023-12-14,2023-12-14,[],"[{'realCompanyName': 'Centuria Property Funds Limited', 'realCompanyACN': '086553639', 'realCompanyAFSL': '231149', 'realCompanyACL': '', 'realCompanyARorCR': '', 'realCompanyWebsite': ''}, {'realCompanyName': 'Centuria Capital Limited', 'realCompanyACN': '095454336', 'realCompanyAFSL': '', 'realCompanyACL': '312471', 'realCompanyARorCR': '', 'realCompanyWebsite': 'www.centuria.com.au'}]"
1466,Unlicensed,https://www.mabcredit.com,['300 Delaware Avenue Suite 210 Wilmington DE 19801'],['https://www.mabcredit.com'],['info@mabcredit.com'],,,,,2023-12-14,2023-12-14,[],[]
1467,Unlicensed,www.smartmoneyau.com,['531A Upper Cross Street #04-98 Hong Lim Complex Singapore 051531'],['www.smartmoneyau.com'],['Info@SmartMoneyAU.com'],['6531658160'],,,,2023-12-14,2023-12-14,[],[]
1468,Imposter,https://www.stkcorp.com.au,"['Governor Phillip Tower, 1 Farrer Place, Sydney NSW Australia', "" 4-12 Regent Street, St James's London United Kingdom""]",['https://www.stkcorp.com.au'],"['info@stkcorp.com.au', 'europe@stkcorp.com.au']",,,,,2023-12-14,2023-12-14,[],"[{'realCompanyName': 'STK Management Pty. Limited', 'realCompanyACN': '163028171', 'realCompanyAFSL': '446261', 'realCompanyACL': '', 'realCompanyARorCR': '', 'realCompanyWebsite': ''}]"
